M/W,Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET,VS_SET,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
Men,2026,8,2026/6/21,B,Preliminary,Amdavad,India,Indonesia,Korea,0,3,22,22,21,-,-,25,25,25,-,-,3,13,10,2,1,-,10,3,11,24,2,8,4,14,1,2,18,21,5,4,13,22,7,3,12,2,1,22,25
Men,2026,9,2026/6/22,A,Preliminary,Amdavad,India,India,Kazakhstan,3,0,25,25,25,-,-,16,21,15,-,-,ALL,45,37,6,2,-,37,9,20,66,6,8,12,26,2,6,66,74,20,2,16,38,24,10,44,31,0,32,63
Men,2026,9,2026/6/22,A,Preliminary,Amdavad,India,India,Kazakhstan,3,0,25,25,25,-,-,16,21,15,-,-,1,12,10,1,1,-,10,4,5,19,1,2,4,7,1,3,21,25,4,0,4,8,9,2,16,9,0,9,18
Men,2026,9,2026/6/22,A,Preliminary,Amdavad,India,India,Kazakhstan,3,0,25,25,25,-,-,16,21,15,-,-,2,17,15,1,1,-,15,2,5,22,1,3,6,10,1,1,22,24,8,2,9,19,5,5,13,13,0,10,23
Men,2026,9,2026/6/22,A,Preliminary,Amdavad,India,India,Kazakhstan,3,0,25,25,25,-,-,16,21,15,-,-,3,16,12,4,0,-,12,3,10,25,4,3,2,9,0,2,23,25,8,0,3,11,10,3,15,9,0,13,22
Men,2026,9,2026/6/22,A,Preliminary,Amdavad,India,Kazakhstan,India,0,3,16,21,15,-,-,25,25,25,-,-,ALL,41,35,4,2,-,35,20,30,85,4,7,7,18,2,15,36,53,43,2,23,68,10,11,40,31,0,55,86
Men,2026,9,2026/6/22,A,Preliminary,Amdavad,India,Kazakhstan,India,0,3,16,21,15,-,-,25,25,25,-,-,1,11,9,2,0,-,9,5,13,27,2,2,2,6,0,8,8,16,14,1,7,22,3,3,11,9,0,17,26
Men,2026,9,2026/6/22,A,Preliminary,Amdavad,India,Kazakhstan,India,0,3,16,21,15,-,-,25,25,25,-,-,2,18,16,0,2,-,16,6,9,31,0,3,1,4,2,3,17,22,18,1,4,23,4,4,15,13,0,18,31
Men,2026,9,2026/6/22,A,Preliminary,Amdavad,India,Kazakhstan,India,0,3,16,21,15,-,-,25,25,25,-,-,3,12,10,2,0,-,10,9,8,27,2,2,4,8,0,4,11,15,11,0,12,23,3,4,14,9,0,20,29
Men,2026,10,2026/6/22,A,Preliminary,Amdavad,India,Australia,Kazakhstan,2,3,25,25,23,24,14,15,21,25,26,16,ALL,72,55,9,8,-,55,23,42,120,9,27,19,55,8,19,84,111,31,8,40,79,53,13,78,20,0,100,120
Men,2026,10,2026/6/22,A,Preliminary,Amdavad,India,Australia,Kazakhstan,2,3,25,25,23,24,14,15,21,25,26,16,1,18,13,1,4,-,13,2,4,19,1,4,1,6,4,2,19,25,5,0,7,12,7,4,12,7,0,12,19
Men,2026,10,2026/6/22,A,Preliminary,Amdavad,India,Australia,Kazakhstan,2,3,25,25,23,24,14,15,21,25,26,16,2,14,8,5,1,-,8,4,9,21,5,7,4,16,1,3,20,24,3,2,12,17,9,3,17,3,0,20,23
Men,2026,10,2026/6/22,A,Preliminary,Amdavad,India,Australia,Kazakhstan,2,3,25,25,23,24,14,15,21,25,26,16,3,15,13,1,1,-,13,5,15,33,1,12,9,22,1,3,20,24,13,1,5,19,16,1,20,7,0,26,33
Men,2026,10,2026/6/22,A,Preliminary,Amdavad,India,Australia,Kazakhstan,2,3,25,25,23,24,14,15,21,25,26,16,4,17,13,2,2,-,13,8,6,27,2,2,2,6,2,6,16,24,5,3,12,20,10,4,16,3,0,23,26
Men,2026,10,2026/6/22,A,Preliminary,Amdavad,India,Australia,Kazakhstan,2,3,25,25,23,24,14,15,21,25,26,16,5,8,8,0,0,-,8,4,8,20,0,2,3,5,0,5,9,14,5,2,4,11,11,1,13,0,0,19,19
Men,2026,10,2026/6/22,A,Preliminary,Amdavad,India,Kazakhstan,Australia,3,2,15,21,25,26,16,25,25,23,24,14,ALL,73,49,16,8,-,49,22,54,125,16,16,15,47,8,24,71,103,34,8,50,92,49,14,82,18,0,117,135
Men,2026,10,2026/6/22,A,Preliminary,Amdavad,India,Kazakhstan,Australia,3,2,15,21,25,26,16,25,25,23,24,14,1,11,10,1,0,-,10,5,4,19,1,2,2,5,0,3,12,15,10,4,9,23,5,3,12,3,0,20,23
Men,2026,10,2026/6/22,A,Preliminary,Amdavad,India,Kazakhstan,Australia,3,2,15,21,25,26,16,25,25,23,24,14,2,15,11,2,2,-,11,11,11,33,2,3,3,8,2,5,15,22,6,1,14,21,11,2,19,3,0,31,34
Men,2026,10,2026/6/22,A,Preliminary,Amdavad,India,Kazakhstan,Australia,3,2,15,21,25,26,16,25,25,23,24,14,3,19,15,3,1,-,15,3,22,40,3,4,4,11,1,5,18,24,6,1,14,21,21,5,29,2,0,39,41
Men,2026,10,2026/6/22,A,Preliminary,Amdavad,India,Kazakhstan,Australia,3,2,15,21,25,26,16,25,25,23,24,14,4,17,8,6,3,-,8,2,6,16,6,5,4,15,3,6,17,26,7,2,9,18,5,2,13,5,0,16,21
Men,2026,10,2026/6/22,A,Preliminary,Amdavad,India,Kazakhstan,Australia,3,2,15,21,25,26,16,25,25,23,24,14,5,11,5,4,2,-,5,1,11,17,4,2,2,8,2,5,9,16,5,0,4,9,7,2,9,5,0,11,16
